title,description,url,publishedAt,sourceName,sourceUrl
Trump harnesses terrifying company - with a name straight from Lord of the Rings,Draw a circle around all the assets in America now devoted to Artificial Intelligence.Draw a second circle around all the assets devoted to the U.S. military.A third around all assets being devoted to helping the Trump regime collect and compile personal information on millions of Americans.And a fo...,https://www.rawstory.com/2672406648/,2025-06-20T18:33:02Z,Raw Story,https://www.rawstory.com
Microsoft planning to ax thousands of sales jobs as focus shifts to AI: report,Microsoft is planning to cut thousands of jobs as part of a broader effort to streamline its workforce while ramping up investments in artificial intelligence.,https://nypost.com/2025/06/18/business/microsoft-planning-to-ax-thousands-of-sales-jobs-jobs-as-focus-shifts-to-ai-report/,2025-06-18T19:03:15Z,New York Post,https://nypost.com
"Pope Leo says AI threatens humanity, 'poses challenges to human dignity'","Pope Leo XIV has issued a stark warning about artificial intelligence, declaring it a threat to humanity that demands urgent global action.",https://nypost.com/2025/06/18/business/pope-leo-says-ai-threatens-humanity-poses-challenges-to-human-dignity/,2025-06-18T18:56:53Z,New York Post,https://nypost.com
Amazon CEO says AI will reduce its corporate workforce in next few years,Amazon CEO Andy Jassy anticipates generative artificial intelligence will reduce its corporate workforce in the next few years.,https://apnews.com/article/amazon-jassy-ai-alexa-workforce-7eea6387e97b84f1f239af2538de5ee9,2025-06-18T17:59:21Z,The Associated Press,https://apnews.com
Can ChatGPT Help With Bill Negotiations? We Put It to the Test,Negotiate utility bills and bank fees with some help from artificial intelligence.,https://www.cnet.com/tech/services-and-software/can-chatgpt-help-with-bill-negotiations-we-put-it-to-the-test/,2025-06-18T09:52:00Z,CNET,https://www.cnet.com
Amazon CEO Andy Jassy admits AI will 'reduce' corporate workforce,Amazon CEO Andy Jassy ominously warned Tuesday that he expects the rise of generative artificial intelligence to “reduce” the company’s corporate workforce in the next few years.,https://nypost.com/2025/06/17/business/amazon-ceo-andy-jassy-admits-ai-will-reduce-corporate-workforce/,2025-06-17T19:06:27Z,New York Post,https://nypost.com
How to Boost Your Productivity With This AI Tool,"Artificial intelligence can't clean and fold your laundry yet, but it can help you plan your housework schedule.",https://www.cnet.com/tech/services-and-software/heres-how-you-can-boost-your-productivity-at-home-with-this-ai-tool/,2025-06-17T17:21:00Z,CNET,https://www.cnet.com
Elon Musk's xAI aims to raise $4.3B in equity funding: report,Elon Musk’s artificial intelligence firm xAI is reportedly in talks to raise $4.3 billion in a new equity investment round.,https://nypost.com/2025/06/17/business/elon-musks-xai-aims-to-raise-4-3b-in-equity-funding-report/,2025-06-17T17:12:16Z,New York Post,https://nypost.com
OpenAI new recruiting head says 'unprecedented pressure to grow',OpenAI's new recruiting head said the stakes are rising when it comes to recruiting artificial intelligence talent.,https://www.cnbc.com/2025/06/16/openai-new-recruiting-head-says-unprecedented-pressure-to-grow.html,2025-06-16T19:17:33Z,CNBC,https://www.cnbc.com
Meta Investors cheer as Mark Zuckerberg doubles down on AI commitment,"Meta Platforms Inc. keeps writing bigger checks in pursuit of its artificial intelligence strategy, and traders keep cheering it on, encouraged that the expensive bets will keep paying off.",https://www.mercurynews.com/2025/06/16/meta-investors-cheer-as-zuckerberg-doubles-down-on-ai-commitment/,2025-06-16T15:14:28Z,The Mercury News,https://www.mercurynews.com
